Brew_ID,Name,City,State,region
121,Horny Goat Brew Pub,Milwaukee,WI,Midwest
122,Cheboygan Brewing Company,Cheboygan,MI,Midwest
123,Center of the Universe Brewing C...,Ashland,VA,South
124,Ipswich Ale Brewery,Ipswich,MA,Northeast
125,Griffin Claw Brewing Company,Birmingham,MI,Midwest
126,Karbach Brewing Company,Houston,TX,South
127,Uncle Billy's Brewery and Smokeh...,Austin,TX,South
128,Deep Ellum Brewing Company,Dallas,TX,South
129,Real Ale Brewing Company,Blanco,TX,South
130,Straub Brewery,St Mary's,PA,Northeast
131,Shebeen Brewing Company,Wolcott,CT,Northeast
132,Stevens Point Brewery,Stevens Point,WI,Midwest
133,Weston Brewing Company,Weston,MO,Midwest
134,Southern Prohibition Brewing Com...,Hattiesburg,MS,South
135,Minhas Craft Brewery,Monroe,WI,Midwest
136,Pug Ryan's Brewery,Dillon,CO,West
137,Hops & Grains Brewing Company,Austin,TX,South
138,Sietsema Orchards and Cider Mill,Ada,MI,Midwest
139,Summit Brewing Company,St Paul,MN,Midwest
140,Core Brewing & Distilling Company,Springdale,AR,South
141,Independence Brewing Company,Austin,TX,South
142,Cigar City Brewing Company,Tampa,FL,South
143,Third Street Brewhouse,Cold Spring,MN,Midwest
144,Narragansett Brewing Company,Providence,RI,Northeast
145,Grimm Brothers Brewhouse,Loveland,CO,West
146,Cisco Brewers,Nantucket,MA,Northeast
147,Angry Minnow,Hayward,WI,Midwest
148,Platform Beer Company,Cleveland,OH,Midwest
149,Odyssey Beerwerks,Arvada,CO,West
150,Lonerider Brewing Company,Raleigh,NC,South
151,Oakshire Brewing,Eugene,OR,West
152,Fort Pitt Brewing Company,Latrobe,PA,Northeast
153,Tin Roof Brewing Company,Baton Rouge,LA,South
154,Three Creeks Brewing,Sisters,OR,West
155,2 Towns Ciderhouse,Corvallis,OR,West
156,Caldera Brewing Company,Ashland,OR,West
157,Greenbrier Valley Brewing Company,Lewisburg,WV,South
158,Phoenix Ale Brewery,Phoenix,AZ,West
159,Lumberyard Brewing Company,Flagstaff,AZ,West
160,Uinta Brewing Company,Salt Lake City,UT,West
161,Four Peaks Brewing Company,Tempe,AZ,West
162,Martin House Brewing Company,Fort Worth,TX,South
163,Right Brain Brewery,Traverse City,MI,Midwest
164,Sly Fox Brewing Company,Phoenixville,PA,Northeast
165,Round Guys Brewing,Lansdale,PA,Northeast
166,Great Crescent Brewery,Aurora,IN,Midwest
167,Oskar Blues Brewery,Longmont,CO,West
168,Boxcar Brewing Company,West Chester,PA,Northeast
169,High Hops Brewery,Windsor,CO,West
170,Crooked Fence Brewing Company,Garden City,ID,West
171,Everybody's Brewing,White Salmon,WA,West
172,Anderson Valley Brewing Company,Boonville,CA,West
173,Fiddlehead Brewing Company,Shelburne,VT,Northeast
174,Evil Twin Brewing,Brooklyn,NY,Northeast
175,New Orleans Lager & Ale Brewing ...,New Orleans,LA,South
176,Spiteful Brewing Company,Chicago,IL,Midwest
177,Rahr & Sons Brewing Company,Fort Worth,TX,South
178,18th Street Brewery,Gary,IN,Midwest
179,Cambridge Brewing Company,Cambridge,MA,Northeast
180,Carolina Brewery,Pittsboro,NC,South
181,Frog Level Brewing Company,Waynesville,NC,South
182,Wild Wolf Brewing Company,Nellysford,VA,South
183,COOP Ale Works,Oklahoma City,OK,South
184,Seventh Son Brewing Company,Columbus,OH,Midwest
185,Oasis Texas Brewing Company,Austin,TX,South
186,Vander Mill Ciders,Spring Lake,MI,Midwest
187,St. Julian Winery,Paw Paw,MI,Midwest
188,Pedernales Brewing Company,Fredericksburg,TX,South
189,Mother's Brewing,Springfield,MO,Midwest
190,Modern Monks Brewery,Lincoln,NE,Midwest
191,Two Beers Brewing Company,Seattle,WA,West
192,Snake River Brewing Company,Jackson,WY,West
193,Capital Brewery,Middleton,WI,Midwest
194,Anthem Brewing Company,Oklahoma City,OK,South
195,Goodlife Brewing Co.,Bend,OR,West
196,Breakside Brewery,Portland,OR,West
197,Goose Island Brewery Company,Chicago,IL,Midwest
198,Burnside Brewing Co.,Portland,OR,West
199,Hop Valley Brewing Company,Springfield,OR,West
200,Worthy Brewing Company,Bend,OR,West
201,Occidental Brewing Company,Portland,OR,West
202,Fearless Brewing Company,Estacada,OR,West
203,Upland Brewing Company,Bloomington,IN,Midwest
204,Mehana Brewing Co.,Hilo,HI,West
205,Hawai'i Nui Brewing Co.,Hilo,HI,West
206,People's Brewing Company,Lafayette,IN,Midwest
207,Fort George Brewery,Astoria,OR,West
208,Branchline Brewing Company,San Antonio,TX,South
209,Kalona Brewing Company,Kalona,IA,Midwest
210,Modern Times Beer,San Diego,CA,West
211,Temperance Beer Company,Evanston,IL,Midwest
212,Wisconsin Brewing Company,Verona,WI,Midwest
213,Crow Peak Brewing Company,Spearfish,SD,Midwest
214,Grapevine Craft Brewery,Farmers Branch,TX,South
215,Buffalo Bayou Brewing Company,Houston,TX,South
216,Texian Brewing Co.,Richmond,TX,South
217,Orpheus Brewing,Atlanta,GA,South
218,Forgotten Boardwalk,Cherry Hill,NJ,Northeast
219,Laughing Dog Brewing Company,Ponderay,ID,West
220,Bozeman Brewing Company,Bozeman,MT,West
221,Big Choice Brewing,Broomfield,CO,West
222,Big Storm Brewing Company,Odessa,FL,South
223,Carton Brewing Company,Atlantic Highlands,NJ,Northeast
224,Midnight Sun Brewing Company,Anchorage,AK,West
225,Fat Head's Brewery,Middleburg Heights,OH,Midwest
226,Refuge Brewery,Temecula,CA,West
227,Chatham Brewing,Chatham,NY,Northeast
228,DC Brau Brewing Company,Washington,DC,South
229,Geneva Lake Brewing Company,Lake Geneva,WI,Midwest
230,Rochester Mills Brewing Company,Rochester,MI,Midwest
231,Cape Ann Brewing Company,Gloucester,MA,Northeast
232,Borderlands Brewing Company,Tucson,AZ,West
233,College Street Brewhouse and Pub,Lake Havasu City,AZ,West
234,Joseph James Brewing Company,Henderson,NV,West
235,Harpoon Brewery,Boston,MA,Northeast
236,Back East Brewing Company,Bloomfield,CT,Northeast
237,Champion Brewing Company,Charlottesville,VA,South
238,Devil's Backbone Brewing Company,Lexington,VA,South
239,Newburgh Brewing Company,Newburgh,NY,Northeast
240,Wiseacre Brewing Company,Memphis,TN,South
241,Golden Road Brewing,Los Angeles,CA,West
242,New Republic Brewing Company,College Station,TX,South
243,Infamous Brewing Company,Austin,TX,South
244,Two Henrys Brewing Company,Plant City,FL,South
245,Lift Bridge Brewing Company,Stillwater,MN,Midwest
246,Lucky Town Brewing Company,Jackson,MS,South
247,Quest Brewing Company,Greenville,SC,South
248,Creature Comforts,Athens,GA,South
249,Half Full Brewery,Stamford,CT,Northeast
250,Southampton Publick House,Southampton,NY,Northeast
251,Chapman's Brewing,Angola,IN,Midwest
252,Barrio Brewing Company,Tucson,AZ,West
253,Santa Cruz Mountain Brewing,Santa Cruz,CA,West
254,Frankenmuth Brewery,Frankenmuth,MI,Midwest
255,Meckley's Cidery,Somerset Center,MI,Midwest
256,Stillwater Artisanal Ales,Baltimore,MD,South
257,Finch's Beer Company,Chicago,IL,Midwest
258,South Austin Brewery,South Austin,TX,South
259,Bauhaus Brew Labs,Minneapolis,MN,Midwest
260,Ozark Beer Company,Rogers,AR,South
261,Mountain Town Brewing Company ,Mount Pleasant,MI,Midwest
262,Otter Creek Brewing,Waterbury,VT,Northeast
263,The Brewer's Art,Baltimore,MD,South
264,Denver Beer Company,Denver,CO,West
265,Ska Brewing Company,Durango,CO,West
266,Tractor Brewing Company,Albuquerque,NM,West
267,Peak Organic Brewing Company,Portland,ME,Northeast
268,Cape Cod Beer,Hyannis,MA,Northeast
269,Long Trail Brewing Company,Bridgewater Corners,VT,Northeast
270,Great Raft Brewing Company,Shreveport,LA,South
271,Alaskan Brewing Company,Juneau,AK,West
272,Notch Brewing Company,Ipswich,MA,Northeast
273,The Alchemist,Waterbury,VT,Northeast
274,Three Notch'd Brewing Company,Charlottesville,VA,South
275,Portside Brewery,Cleveland,OH,Midwest
276,Otter Creek Brewing,Middlebury,VT,Northeast
277,Montauk Brewing Company,Montauk,NY,Northeast
278,Indeed Brewing Company,Minneapolis,MN,Midwest
279,Berkshire Brewing Company,South Deerfield,MA,Northeast
280,Foolproof Brewing Company,Pawtucket,RI,Northeast
281,Headlands Brewing Company,Mill Valley,CA,West
282,Bolero Snort Brewery,Ridgefield Park,NJ,Northeast
283,Thunderhead Brewing Company,Kearney,NE,Midwest
284,Defiance Brewing Company,Hays,KS,Midwest
285,Milwaukee Brewing Company,Milwaukee,WI,Midwest
286,Catawba Island Brewing,Port Clinton,OH,Midwest
287,Back Forty Beer Company,Gadsden,AL,South
288,Four Corners Brewing Company,Dallas,TX,South
289,Saint Archer Brewery,San Diego,CA,West
290,Rogue Ales,Newport,OR,West
291,Hale's Ales,Seattle,WA,West
292,Tommyknocker Brewery,Idaho Springs,CO,West
293,Baxter Brewing Company,Lewiston,ME,Northeast
294,Northampton Brewery,Northamtpon,MA,Northeast
295,Black Shirt Brewing Company,Denver,CO,West
296,Wachusett Brewing Company,Westminster,MA,Northeast
297,Widmer Brothers Brewing Company,Portland,OR,West
298,Hop Farm Brewing Company,Pittsburgh,PA,Northeast
299,Liquid Hero Brewery,York,PA,Northeast
300,Matt Brewing Company,Utica,NY,Northeast
301,Boston Beer Company,Boston,MA,Northeast
302,Old Forge Brewing Company,Danville,PA,Northeast
303,Utah Brewers Cooperative,Salt Lake City,UT,West
304,Magic Hat Brewing Company,South Burlington,VT,Northeast
305,Blue Hills Brewery,Canton,MA,Northeast
306,Night Shift Brewing,Everett,MA,Northeast
307,Beach Brewing Company,Virginia Beach,VA,South
308,Payette Brewing Company,Garden City,ID,West
309,Brew Bus Brewing,Tampa,FL,South
310,Sockeye Brewing Company,Boise,ID,West
311,Pine Street Brewery,San Francisco,CA,West
312,Dirty Bucket Brewing Company,Woodinville,WA,West
313,Jackalope Brewing Company,Nashville,TN,South
314,Slanted Rock Brewing Company,Meridian,ID,West
315,Piney River Brewing Company,Bucryus,MO,Midwest
316,Cutters Brewing Company,Avon,IN,Midwest
317,Iron Hill Brewery & Restaurant,Wilmington,DE,South
318,Marshall Wharf Brewing Company,Belfast,ME,Northeast
319,Banner Beer Company,Williamsburg,MA,Northeast
320,Dick's Brewing Company,Centralia,WA,West
321,Claremont Craft Ales,Claremont,CA,West
322,Rivertown Brewing Company,Lockland,OH,Midwest
323,Voodoo Brewery,Meadville,PA,Northeast
324,D.L. Geary Brewing Company,Portland,ME,Northeast
325,Pisgah Brewing Company,Black Mountain,NC,South
326,Neshaminy Creek Brewing Company,Croydon,PA,Northeast
327,Morgan Street Brewery,Saint Louis,MO,Midwest
328,Half Acre Beer Company,Chicago,IL,Midwest
329,The Just Beer Project,Burlington,VT,Northeast
330,The Bronx Brewery,Bronx,NY,Northeast
331,Dead Armadillo Craft Brewing,Tulsa,OK,South
332,Catawba Brewing Company,Morganton,NC,South
333,La Cumbre Brewing Company,Albuquerque,NM,West
334,David's Ale Works,Diamond Springs,CA,West
335,The Traveler Beer Company,Burlington,VT,Northeast
336,Fargo Brewing Company,Fargo,ND,Midwest
337,Big Sky Brewing Company,Missoula,MT,West
338,Nebraska Brewing Company,Papillion,NE,Midwest
339,Uncle John's Fruit House Winery,St. John's,MI,Midwest
340,Wormtown Brewery,Worcester,MA,Northeast
341,Due South Brewing Company,Boynton Beach,FL,South
342,Palisade Brewing Company,Palisade,CO,West
343,KelSo Beer Company,Brooklyn,NY,Northeast
344,Hardywood Park Craft Brewery,Richmond,VA,South
345,Wolf Hills Brewing Company,Abingdon,VA,South
346,Lavery Brewing Company,Erie,PA,Northeast
347,Manzanita Brewing Company,Santee,CA,West
348,Fullsteam Brewery,Durham,NC,South
349,Four Horsemen Brewing Company,South Bend,IN,Midwest
350,Hinterland Brewery,Green Bay,WI,Midwest
351,Central Coast Brewing Company,San Luis Obispo,CA,West
352,Westfield River Brewing Company,Westfield,MA,Northeast
353,Elevator Brewing Company,Columbus,OH,Midwest
354,Aslan Brewing Company,Bellingham,WA,West
355,Kulshan Brewery,Bellingham,WA,West
356,Pikes Peak Brewing Company,Monument,CO,West
357,Manayunk Brewing Company,Philadelphia,PA,Northeast
358,Buckeye Brewing,Cleveland,OH,Midwest
359,Daredevil Brewing Company,Shelbyville,IN,Midwest
360,NoDa Brewing Company,Charlotte,NC,South
361,Aviator Brewing Company,Fuquay-Varina,NC,South
362,Wild Onion Brewing Company,Lake Barrington,IL,Midwest
363,Hilliard's Beer,Seattle,WA,West
364,Mikkeller,Pottstown,PA,Northeast
365,Bohemian Brewery,Midvale,UT,West
366,Great River Brewery,Davenport,IA,Midwest
367,Mustang Brewing Company,Mustang,OK,South
368,Airways Brewing Company,Kent,WA,West
369,21st Amendment Brewery,San Francisco,CA,West
370,Eddyline Brewery & Restaurant,Buena Vista,CO,West
371,Pizza Port Brewing Company,Carlsbad,CA,West
372,Sly Fox Brewing Company,Pottstown,PA,Northeast
373,Spring House Brewing Company,Conestoga,PA,Northeast
374,7venth Sun,Dunedin,FL,South
375,Astoria Brewing Company,Astoria,OR,West
376,Maui Brewing Company,Lahaina,HI,West
377,RoughTail Brewing Company,Midwest City,OK,South
378,Lucette Brewing Company,Menominee,WI,Midwest
379,Bold City Brewery,Jacksonville,FL,South
380,Grey Sail Brewing of Rhode Island,Westerly,RI,Northeast
381,Blue Blood Brewing Company,Lincoln,NE,Midwest
382,Swashbuckler Brewing Company,Manheim,PA,Northeast
383,Blue Mountain Brewery,Afton,VA,South
384,Starr Hill Brewery,Crozet,VA,South
385,Westbrook Brewing Company,Mt. Pleasant,SC,South
386,Shipyard Brewing Company,Portland,ME,Northeast
387,Revolution Brewing,Paonia,CO,West
388,Natian Brewery,Portland,OR,West
389,Alltech's Lexington Brewing Company,Lexington,KY,South
390,Oskar Blues Brewery (North Carol...,Brevard,NC,South
391,Orlison Brewing Company,Airway Heights,WA,West
392,Breckenridge Brewery,Denver,CO,West
393,Santa Fe Brewing Company,Santa Fe,NM,West
394,Miami Brewing Company,Miami,FL,South
395,Schilling & Company,Seattle,WA,West
396,Hops & Grain Brewery,Austin,TX,South
397,White Flame Brewing Company,Hudsonville,MI,Midwest
398,Ruhstaller Beer Company,Sacramento,CA,West
399,Saugatuck Brewing Company,Douglas,MI,Midwest
400,Moab Brewery,Moab,UT,West
401,Macon Beer Company,Macon,GA,South
402,Amnesia Brewing Company,Washougal,WA,West
403,Wolverine State Brewing Company,Ann Arbor,MI,Midwest
404,Red Tank Cider Company,Bend,OR,West
405,Cascadia Ciderworks United,Portland,OR,West
406,Fate Brewing Company,Boulder,CO,West
407,Lazy Monk Brewing,Eau Claire,WI,Midwest
408,Bitter Root Brewing,Hamilton,MT,West
409,10 Barrel Brewing Company,Bend,OR,West
410,Tamarack Brewing Company,Lakeside,MT,West
411,New England Brewing Company,Woodbridge,CT,Northeast
412,Seattle Cider Company,Seattle,WA,West
413,Straight to Ale,Huntsville,AL,South
414,Austin Beerworks,Austin,TX,South
415,Blue Mountain Brewery,Arrington,VA,South
416,Coastal Empire Beer Company,Savannah,GA,South
417,Jack's Hard Cider (Hauser Estate...,Biglerville,PA,Northeast
418,Boulder Beer Company,Boulder,CO,West
419,Coalition Brewing Company,Portland,OR,West
420,Sanitas Brewing Company,Boulder,CO,West
421,Gore Range Brewery,Edwards,CO,West
422,Redstone Meadery,Boulder,CO,West
423,Blue Dog Mead,Eugene,OR,West
424,Hess Brewing Company,San Diego,CA,West
425,Wynkoop Brewing Company,Denver,CO,West
426,Ciderboys,Stevens Point,WI,Midwest
427,Armadillo Ale Works,Denton,TX,South
428,Roanoke Railhouse Brewery,Roanoke,VA,South
429,Schlafly Brewing Company,Saint Louis,MO,Midwest
430,Asher Brewing Company,Boulder,CO,West
431,Lost Rhino Brewing Company,Ashburn,VA,South
432,North Country Brewing Company,Slippery Rock,PA,Northeast
433,Seabright Brewery,Santa Cruz,CA,West
434,French Broad Brewery,Asheville,NC,South
435,Angry Orchard Cider Company,Cincinnati,OH,Midwest
436,Two Roads Brewing Company,Stratford,CT,Northeast
437,Southern Oregon Brewing Company,Medford,OR,West
438,Brooklyn Brewery,Brooklyn,NY,Northeast
439,The Right Brain Brewery,Traverse City,MI,Midwest
440,Kona Brewing Company,Kona,HI,West
441,MillKing It Productions,Royal Oak,MI,Midwest
442,Pateros Creek Brewing Company,Fort Collins,CO,West
443,O'Fallon Brewery,O'Fallon,MO,Midwest
444,Marble Brewery,Albuquerque,NM,West
445,Big Wood Brewery,Vadnais Heights,MN,Midwest
446,Howard Brewing Company,Lenoir,NC,South
447,Downeast Cider House,Leominster,MA,Northeast
448,Swamp Head Brewery,Gainesville,FL,South
449,Mavericks Beer Company,Half Moon Bay,CA,West
450,TailGate Beer,San Diego,CA,West
451,Northwest Brewing Company,Pacific,WA,West
452,Dad & Dude's Breweria,Aurora,CO,West
453,Centennial Beer Company,Edwards,CO,West
454,Denali Brewing Company,Talkeetna,AK,West
455,Deschutes Brewery,Bend,OR,West
456,Sunken City Brewing Company,Hardy,VA,South
457,Lucette Brewing Company,Menominie,WI,Midwest
458,The Black Tooth Brewing Company,Sheridan,WY,West
459,Kenai River Brewing Company,Soldotna,AK,West
460,River North Brewery,Denver,CO,West
461,Fremont Brewing Company,Seattle,WA,West
462,Armstrong Brewing Company,South San Francisco,CA,West
463,AC Golden Brewing Company,Golden,CO,West
464,Big Bend Brewing Company,Alpine,TX,South
465,Good Life Brewing Company,Bend,OR,West
466,Engine 15 Brewing,Jacksonville Beach,FL,South
467,Green Room Brewing,Jacksonville,FL,South
468,Brindle Dog Brewing Company,Tampa Bay,FL,South
469,Peace Tree Brewing Company,Knoxville,IA,Midwest
470,Terrapin Brewing Company,Athens,GA,South
471,Pete's Brewing Company,San Antonio,TX,South
472,Okoboji Brewing Company,Spirit Lake,IA,Midwest
473,Crystal Springs Brewing Company,Boulder,CO,West
474,Engine House 9,Tacoma,WA,West
475,Tonka Beer Company,Minnetonka,MN,Midwest
476,Red Hare Brewing Company,Marietta,GA,South
477,Hangar 24 Craft Brewery,Redlands,CA,West
478,Big Elm Brewing,Sheffield,MA,Northeast
479,Good People Brewing Company,Birmingham,AL,South
480,Heavy Seas Beer,Halethorpe,MD,South
481,Telluride Brewing Company,Telluride,CO,West
482,7 Seas Brewing Company,Gig Harbor,WA,West
483,Confluence Brewing Company,Des Moines,IA,Midwest
484,Bale Breaker Brewing Company,Yakima,WA,West
485,The Manhattan Brewing Company,New York,NY,Northeast
486,MacTarnahans Brewing Company,Portland,OR,West
487,Stillmank Beer Company,Green Bay,WI,Midwest
488,Redhook Brewery,Woodinville,WA,West
489,Dock Street Brewery,Philadelphia,PA,Northeast
490,Blue Point Brewing Company,Patchogue,NY,Northeast
491,Tampa Bay Brewing Company,Tampa,FL,South
492,Devil's Canyon Brewery,Belmont,CA,West
493,Stone Coast Brewing Company,Portland,ME,Northeast
494,Broken Tooth Brewing Company,Anchorage,AK,West
495,Seven Brides Brewery,Silverton,OR,West
496,Newburyport Brewing Company,Newburyport,MA,Northeast
497,Dry Dock Brewing Company,Aurora,CO,West
498,Cans Bar and Canteen,Charlotte,NC,South
499,Sprecher Brewing Company,Glendale,WI,Midwest
500,Wildwood Brewing Company,Stevensville,MT,West
501,High Noon Saloon And Brewery,Leavenworth,KS,Midwest
502,Woodchuck Hard Cider,Middlebury,VT,Northeast
503,Sea Dog Brewing Company,Portland,ME,Northeast
504,Oskar Blues Brewery,Lyons,CO,West
505,Carolina Beer & Beverage,Mooresville,NC,South
506,Krebs Brewing Company (Pete's Pl...,Krebs,OK,South
507,Warbird Brewing Company,Fort Wayne,IN,Midwest
508,Mudshark Brewing Company,Lake Havasu City,AZ,West
509,Spilker Ales,Cortland,NE,Midwest
510,Wingman Brewers,Tacoma,WA,West
511,Kettle House Brewing Company,Missoula,MT,West
512,Sherwood Forest Brewers,Marlborough,MA,Northeast
513,Cottrell Brewing,Pawcatuck,CT,Northeast
514,Arctic Craft Brewery,Colorado Springs,CO,West
515,Monkey Paw Pub & Brewery,San Diego,CA,West
516,Crabtree Brewing Company,Greeley,CO,West
517,Emerald City Beer Company,Seattle,WA,West
518,Butcher's Brewing,Carlsbad,CA,West
519,New South Brewing Company,Myrtle Beach,SC,South
520,Big River Brewing Company,Chattanooga,TN,South
521,Twisted Pine Brewing Company,Boulder,CO,West
522,Flying Dog Brewery,Frederick,MD,South
523,Uncommon Brewers,Santa Cruz,CA,West
524,Aspen Brewing Company,Aspen,CO,West
525,Triangle Brewing Company,Durham,NC,South
526,Bomb Beer Company,New York,NY,Northeast
527,Churchkey Can Company,Seattle,WA,West
528,Intuition Ale Works,Jacksonville,FL,South
529,Asheville Brewing Company,Asheville,NC,South
530,Northwoods Brewpub,Eau Claire,WI,Midwest
531,Buckbean Brewing Company,Reno,NV,West
532,Dolores River Brewery,Dolores,CO,West
533,Flat Rock Brewing Company,Smithton,PA,Northeast
534,Abita Brewing Company,Abita Springs,LA,South
535,Mammoth Brewing Company,Mammoth Lakes,CA,West
536,Harvest Moon Brewing Company,Belt,MT,West
537,Grand Canyon Brewing Company,Williams,AZ,West
538,Lewis and Clark Brewing Company,Helena,MT,West
539,Dundee Brewing Company,Rochester,NY,Northeast
540,Twin Lakes Brewing Company,Greenville,DE,South
541,Mother Earth Brewing Company,Kinston,NC,South
542,Arcadia Brewing Company,Battle Creek,MI,Midwest
543,Angry Minnow Brewing Company,Hayward,WI,Midwest
